,path,emotion
0,data/my-custom\female1_10a_1_sad.wav,sad
1,data/my-custom\female1_10a_2_sad.wav,sad
2,data/my-custom\female1_10b_1_sad.wav,sad
3,data/my-custom\female1_10b_2_sad.wav,sad
4,data/my-custom\female1_11a_1_sad.wav,sad
5,data/my-custom\female1_11a_2_sad.wav,sad
6,data/my-custom\female1_11b_1_sad.wav,sad
7,data/my-custom\female1_11b_2_sad.wav,sad
8,data/my-custom\female1_12a_1_sad.wav,sad
9,data/my-custom\female1_12a_2_sad.wav,sad
10,data/my-custom\female1_12b_1_sad.wav,sad
11,data/my-custom\female1_12b_2_sad.wav,sad
12,data/my-custom\female1_13a_1_sad.wav,sad
13,data/my-custom\female1_13a_2_sad.wav,sad
14,data/my-custom\female1_13b_1_sad.wav,sad
15,data/my-custom\female1_13b_2_sad.wav,sad
16,data/my-custom\female1_14a_1_sad.wav,sad
17,data/my-custom\female1_14a_2_sad.wav,sad
18,data/my-custom\female1_14b_1_sad.wav,sad
19,data/my-custom\female1_14b_2_sad.wav,sad
20,data/my-custom\female1_15a_1_sad.wav,sad
21,data/my-custom\female1_15a_2_sad.wav,sad
22,data/my-custom\female1_15b_1_sad.wav,sad
23,data/my-custom\female1_15b_2_sad.wav,sad
24,data/my-custom\female1_1a_1_sad.wav,sad
25,data/my-custom\female1_1a_2_sad.wav,sad
26,data/my-custom\female1_1b_1_sad.wav,sad
27,data/my-custom\female1_1b_2_sad.wav,sad
28,data/my-custom\female1_2a_1_sad.wav,sad
29,data/my-custom\female1_2a_2_sad.wav,sad
30,data/my-custom\female1_2b_1_sad.wav,sad
31,data/my-custom\female1_2b_2_sad.wav,sad
32,data/my-custom\female1_3a_1_sad.wav,sad
33,data/my-custom\female1_3a_2_sad.wav,sad
34,data/my-custom\female1_3b_1_sad.wav,sad
35,data/my-custom\female1_3b_2_sad.wav,sad
36,data/my-custom\female1_4a_1_sad.wav,sad
37,data/my-custom\female1_4a_2_sad.wav,sad
38,data/my-custom\female1_4b_1_sad.wav,sad
39,data/my-custom\female1_4b_2_sad.wav,sad
40,data/my-custom\female1_5a_1_sad.wav,sad
41,data/my-custom\female1_5a_2_sad.wav,sad
42,data/my-custom\female1_5b_1_sad.wav,sad
43,data/my-custom\female1_5b_2_sad.wav,sad
44,data/my-custom\female1_6a_1_sad.wav,sad
45,data/my-custom\female1_6a_2_sad.wav,sad
46,data/my-custom\female1_6b_1_sad.wav,sad
47,data/my-custom\female1_6b_2_sad.wav,sad
48,data/my-custom\female1_7a_1_sad.wav,sad
49,data/my-custom\female1_7a_2_sad.wav,sad
50,data/my-custom\female1_7b_1_sad.wav,sad
51,data/my-custom\female1_7b_2_sad.wav,sad
