,path,emotion
0,data/training\Actor_01\01_01_01_01_dogs-sitting_neutral.wav,NEUTRAL
1,data/training\Actor_01\01_01_01_01_kids-talking_neutral.wav,NEUTRAL
2,data/training\Actor_01\01_01_01_02_dogs-sitting_neutral.wav,NEUTRAL
3,data/training\Actor_01\01_01_01_02_kids-talking_neutral.wav,NEUTRAL
4,data/training\Actor_01\01_02_01_01_dogs-sitting_neutral.wav,NEUTRAL
5,data/training\Actor_01\01_02_01_01_kids-talking_neutral.wav,NEUTRAL
6,data/training\Actor_01\01_02_01_02_dogs-sitting_neutral.wav,NEUTRAL
7,data/training\Actor_01\01_02_01_02_kids-talking_neutral.wav,NEUTRAL
8,data/training\Actor_01\03-02-01-01-01-01-01_neutral.wav,NEUTRAL
9,data/training\Actor_01\03-02-01-01-01-02-01_neutral.wav,NEUTRAL
10,data/training\Actor_01\03-02-01-01-02-01-01_neutral.wav,NEUTRAL
11,data/training\Actor_01\03-02-01-01-02-02-01_neutral.wav,NEUTRAL
12,data/training\Actor_02\02_01_01_01_dogs-sitting_neutral.wav,NEUTRAL
13,data/training\Actor_02\02_01_01_01_kids-talking_neutral.wav,NEUTRAL
14,data/training\Actor_02\02_01_01_02_dogs-sitting_neutral.wav,NEUTRAL
15,data/training\Actor_02\02_01_01_02_kids-talking_neutral.wav,NEUTRAL
16,data/training\Actor_02\02_02_01_01_dogs-sitting_neutral.wav,NEUTRAL
17,data/training\Actor_02\02_02_01_01_kids-talking_neutral.wav,NEUTRAL
18,data/training\Actor_02\02_02_01_01_kids-talking_noise_neutral.wav,NEUTRAL
19,data/training\Actor_02\02_02_01_02_dogs-sitting_neutral.wav,NEUTRAL
20,data/training\Actor_02\02_02_01_02_dogs-sitting_noise_neutral.wav,NEUTRAL
21,data/training\Actor_02\02_02_01_02_kids-talking_neutral.wav,NEUTRAL
22,data/training\Actor_02\03-02-01-01-01-01-02_neutral.wav,NEUTRAL
23,data/training\Actor_02\03-02-01-01-01-01-02_noise_neutral.wav,NEUTRAL
